type	name	sc	lefr	zcr
d	d	c	c	c
class
fermo	ristorante_02_000_000	57.958979	463.000000	0.190071
fermo	ristorante_02_000_001	60.716017	458.000000	0.207092
fermo	ristorante_02_000_002	67.625908	479.000000	0.215603
fermo	ristorante_02_001_000	68.819759	494.000000	0.197163
fermo	ristorante_02_001_001	96.317743	460.000000	0.265248
fermo	ristorante_02_001_002	53.846418	480.000000	0.177305
fermo	ristorante_02_002_000	114.927156	460.000000	0.344681
fermo	ristorante_02_002_001	64.143875	447.000000	0.202837
fermo	ristorante_02_002_002	86.977889	482.000000	0.269504
fermo	ristorante_02_003_000	57.827351	448.000000	0.188652
fermo	ristorante_02_003_001	76.384341	432.000000	0.224113
fermo	ristorante_02_003_002	60.313466	433.000000	0.192908
fermo	ristorante_02_004_000	93.606999	469.000000	0.292199
fermo	ristorante_02_004_001	109.267044	443.000000	0.327660
fermo	ristorante_02_004_002	116.022882	449.000000	0.313475
fermo	ristorante_02_005_000	61.072341	454.000000	0.180142
fermo	ristorante_02_005_001	105.372801	461.000000	0.312057
fermo	ristorante_02_005_002	84.138395	446.000000	0.265248
fermo	ristorante_02_006_000	68.997347	455.000000	0.236879
fermo	ristorante_02_006_001	54.347349	413.000000	0.154610
fermo	ristorante_02_006_002	137.759272	442.000000	0.412766
fermo	ristorante_02_007_000	104.925769	464.000000	0.287943
fermo	ristorante_02_007_001	50.324707	434.000000	0.150355
fermo	ristorante_02_007_002	65.316049	456.000000	0.205674
fermo	ristorante_02_008_000	55.394147	446.000000	0.165957
fermo	ristorante_02_008_001	43.539867	456.000000	0.153191
fermo	ristorante_02_008_002	83.270035	453.000000	0.258156
fermo	ristorante_02_009_000	54.392379	468.000000	0.192908
fermo	ristorante_02_009_001	47.034679	488.000000	0.181560
fermo	ristorante_02_009_002	70.622210	466.000000	0.222695
fermo	ristorante_02_010_000	72.637043	435.000000	0.226950
fermo	ristorante_02_010_001	82.380044	474.000000	0.248227
fermo	ristorante_02_010_002	79.488026	465.000000	0.269504
fermo	ristorante_02_011_000	69.551665	466.000000	0.208511
fermo	ristorante_02_011_001	98.519803	460.000000	0.307801
fermo	ristorante_02_011_002	88.923367	473.000000	0.269504
fermo	ristorante_02_012_000	77.988978	450.000000	0.270922
fermo	ristorante_02_012_001	64.785250	456.000000	0.222695
fermo	ristorante_02_012_002	64.870839	452.000000	0.197163
fermo	ristorante_02_013_000	48.777646	446.000000	0.134752
fermo	ristorante_02_013_001	75.569755	455.000000	0.243972
fermo	ristorante_02_013_002	89.560171	472.000000	0.292199
fermo	ristorante_02_014_000	72.412444	484.000000	0.217021
fermo	ristorante_02_014_001	63.145529	451.000000	0.192908
fermo	ristorante_02_014_002	61.342601	459.000000	0.180142
fermo	ristorante_02_015_000	69.776225	454.000000	0.228369
fermo	ristorante_02_015_001	56.068139	476.000000	0.201418
fermo	ristorante_02_015_002	74.097335	449.000000	0.225532
fermo	ristorante_02_016_000	69.174447	432.000000	0.228369
fermo	ristorante_02_016_001	71.231462	459.000000	0.238298
fermo	ristorante_02_016_002	72.441918	461.000000	0.260993
fermo	ristorante_02_017_000	45.662219	471.000000	0.170213
fermo	ristorante_02_017_001	94.409113	468.000000	0.279433
fermo	ristorante_02_017_002	77.239313	465.000000	0.245390
fermo	ristorante_02_018_000	62.411461	447.000000	0.195745
fermo	ristorante_02_018_001	80.393823	460.000000	0.248227
fermo	ristorante_02_018_002	74.200423	458.000000	0.243972
fermo	ristorante_02_019_000	71.012317	464.000000	0.229787
fermo	ristorante_02_019_001	62.165234	457.000000	0.229787
fermo	ristorante_02_019_002	83.952078	455.000000	0.265248
fermo	ristorante_02_020_000	63.826556	462.000000	0.215603
fermo	ristorante_02_020_001	75.359428	473.000000	0.241135
fermo	ristorante_02_020_002	67.727965	453.000000	0.188652
fermo	ristorante_02_021_000	79.451710	452.000000	0.283688
fermo	ristorante_02_021_001	78.465289	478.000000	0.228369
fermo	ristorante_02_021_002	66.847068	444.000000	0.212766
fermo	ristorante_02_022_000	80.860129	459.000000	0.285106
fermo	ristorante_02_022_001	62.561871	459.000000	0.200000
fermo	ristorante_02_022_002	57.536356	379.000000	0.141844
fermo	ristorante_02_023_000	39.474019	488.000000	0.160284
fermo	ristorante_02_023_001	56.477895	455.000000	0.174468
fermo	ristorante_02_023_002	57.182642	443.000000	0.150355
fermo	ristorante_02_024_000	132.207543	451.000000	0.421277
fermo	ristorante_02_024_001	122.640071	494.000000	0.333333
fermo	ristorante_02_024_002	63.690682	476.000000	0.215603
fermo	ristorante_02_025_000	61.758980	495.000000	0.228369
fermo	ristorante_02_025_001	52.246155	483.000000	0.163121
fermo	ristorante_02_025_002	74.939249	460.000000	0.241135
fermo	ristorante_02_026_000	58.502800	471.000000	0.194326
fermo	ristorante_02_026_001	105.481402	459.000000	0.348936
fermo	ristorante_02_026_002	60.400266	435.000000	0.141844
fermo	ristorante_02_027_000	86.556556	459.000000	0.241135
fermo	ristorante_02_027_001	65.123278	461.000000	0.202837
fermo	ristorante_02_027_002	84.741777	460.000000	0.239716
fermo	ristorante_02_028_000	55.691433	425.000000	0.150355
fermo	ristorante_02_028_001	70.606545	458.000000	0.225532
fermo	ristorante_02_028_002	109.893484	492.000000	0.307801
fermo	ristorante_02_029_000	64.419433	446.000000	0.190071
fermo	ristorante_02_029_001	68.627245	457.000000	0.205674
fermo	ristorante_02_029_002	70.760242	477.000000	0.205674
fermo	ristorante_02_030_000	76.846970	455.000000	0.265248
fermo	ristorante_02_030_001	71.816354	449.000000	0.229787
fermo	ristorante_02_030_002	74.658638	445.000000	0.218440
