type	name	sc	lefr	zcr	entropy
d	d	c	c	c	c
class
rumore	ristorante_02_000_000	57.958979	463.000000	0.190071	115832.592196
rumore	ristorante_02_000_001	60.716017	458.000000	0.207092	1077662.398954
rumore	ristorante_02_000_002	67.625908	479.000000	0.215603	491295.483790
rumore	ristorante_02_001_000	68.819759	494.000000	0.197163	594199.693266
rumore	ristorante_02_001_001	96.317743	460.000000	0.265248	636332.867891
rumore	ristorante_02_001_002	53.846418	480.000000	0.177305	464823.390426
rumore	ristorante_02_002_000	114.927156	460.000000	0.344681	606748.855626
rumore	ristorante_02_002_001	64.143875	447.000000	0.202837	810238.697674
rumore	ristorante_02_002_002	86.977889	482.000000	0.269504	234379.933616
rumore	ristorante_02_003_000	57.827351	448.000000	0.188652	550289.613243
rumore	ristorante_02_003_001	76.384341	432.000000	0.224113	594332.694982
rumore	ristorante_02_003_002	60.313466	433.000000	0.192908	-379822.764683
rumore	ristorante_02_004_000	93.606999	469.000000	0.292199	572562.203832
rumore	ristorante_02_004_001	109.267044	443.000000	0.327660	1007869.966797
rumore	ristorante_02_004_002	116.022882	449.000000	0.313475	989677.433379
rumore	ristorante_02_005_000	61.072341	454.000000	0.180142	837506.130365
rumore	ristorante_02_005_001	105.372801	461.000000	0.312057	1658868.932410
rumore	ristorante_02_005_002	84.138395	446.000000	0.265248	203603.493610
rumore	ristorante_02_006_000	68.997347	455.000000	0.236879	361236.419315
rumore	ristorante_02_006_001	54.347349	413.000000	0.154610	-436242.506252
rumore	ristorante_02_006_002	137.759272	442.000000	0.412766	-249694.252813
rumore	ristorante_02_007_000	104.925769	464.000000	0.287943	743816.034425
rumore	ristorante_02_007_001	50.324707	434.000000	0.150355	1178257.298720
rumore	ristorante_02_007_002	65.316049	456.000000	0.205674	509493.212550
rumore	ristorante_02_008_000	55.394147	446.000000	0.165957	1435402.753374
rumore	ristorante_02_008_001	43.539867	456.000000	0.153191	872659.837975
rumore	ristorante_02_008_002	83.270035	453.000000	0.258156	1156055.135388
rumore	ristorante_02_009_000	54.392379	468.000000	0.192908	404178.266367
rumore	ristorante_02_009_001	47.034679	488.000000	0.181560	332393.825330
rumore	ristorante_02_009_002	70.622210	466.000000	0.222695	421033.506218
rumore	ristorante_02_010_000	72.637043	435.000000	0.226950	-919397.956706
rumore	ristorante_02_010_001	82.380044	474.000000	0.248227	2249237.419022
